1.000000000000000715e-02	1.000000000000000715e-02	1.000000000000000715e-02	9.600000000000006098e-03	8.100000000000004766e-03	6.600000000000003433e-03	5.300000000000002626e-03	3.000000000000000930e-03	2.500000000000000486e-03	2.600000000000000748e-03
1.000000000000000715e-02	3.000000000000000930e-03	2.999999999999999737e-04	4.000000000000000192e-04	8.000000000000000383e-04	8.000000000000000383e-04	6.000000000000000559e-04	2.000000000000000096e-04	7.000000000000001013e-04	8.999999999999999754e-04
1.000000000000000715e-02	1.000000000000000715e-02	1.000000000000000715e-02	9.800000000000006622e-03	9.500000000000006703e-03	8.500000000000005815e-03	6.700000000000003696e-03	6.200000000000003252e-03	4.200000000000002343e-03	3.600000000000001636e-03
1.000000000000000715e-02	1.000000000000000715e-02	1.000000000000000715e-02	9.900000000000006017e-03	9.000000000000006259e-03	6.600000000000003433e-03	4.700000000000002787e-03	3.400000000000001545e-03	2.500000000000000486e-03	2.600000000000000748e-03
2.900000000000001101e-03	2.400000000000000657e-03	1.900000000000000430e-03	1.500000000000000031e-03	1.099999999999999849e-03	6.000000000000000559e-04	8.999999999999999754e-04	6.000000000000000559e-04	7.000000000000001013e-04	2.000000000000000096e-04
1.000000000000000715e-02	1.000000000000000715e-02	8.500000000000005815e-03	5.700000000000002807e-03	2.900000000000001101e-03	2.000000000000000475e-03	1.900000000000000430e-03	1.500000000000000031e-03	1.099999999999999849e-03	1.099999999999999849e-03
9.300000000000006178e-03	4.000000000000000192e-04	5.000000000000000104e-04	4.000000000000000192e-04	4.000000000000000192e-04	1.000000000000000048e-04	4.000000000000000192e-04	5.000000000000000104e-04	7.000000000000001013e-04	4.000000000000000192e-04
1.000000000000000715e-02	1.000000000000000715e-02	1.000000000000000715e-02	1.000000000000000715e-02	1.000000000000000715e-02	9.300000000000006178e-03	8.500000000000005815e-03	7.500000000000004927e-03	6.000000000000003594e-03	5.200000000000002363e-03
1.000000000000000715e-02	1.000000000000000715e-02	1.000000000000000715e-02	9.500000000000006703e-03	6.100000000000002989e-03	4.100000000000002080e-03	4.100000000000002080e-03	3.500000000000001374e-03	3.100000000000001192e-03	2.000000000000000475e-03
1.000000000000000715e-02	1.000000000000000715e-02	1.000000000000000715e-02	1.000000000000000715e-02	1.000000000000000715e-02	1.000000000000000715e-02	1.000000000000000715e-02	9.900000000000006017e-03	9.900000000000006017e-03	9.500000000000006703e-03
1.000000000000000715e-02	1.000000000000000715e-02	1.000000000000000715e-02	7.600000000000004322e-03	4.300000000000002605e-03	2.500000000000000486e-03	1.700000000000000122e-03	1.199999999999999895e-03	1.000000000000000021e-03	7.000000000000001013e-04
